day,posts,likes,views
2019-08-30,5,122,44914
2019-08-31,1,65,10769
2019-09-01,1,44,10927
2019-09-02,3,124,28283
2019-09-03,2,104,18652
2019-09-04,2,240,30649
2019-09-05,2,63,18071
2019-09-06,2,40,17337
2019-09-07,2,74,18559
2019-09-08,1,136,21039
2019-09-09,3,203,34989
2019-09-10,2,87,23455
2019-09-11,3,129,49209
2019-09-12,2,290,21330
2019-09-13,1,22,11748
2019-09-14,2,115,20055
2019-09-15,2,108,26712
2019-09-16,1,49,13423
2019-09-17,2,79,21647
2019-09-18,2,58,17710
2019-09-19,3,124,28312
2019-09-20,2,159,21010
2019-09-21,4,304,41884
2019-09-22,3,212,34788
2019-09-23,2,124,17604
2019-09-24,2,49,66001
2019-09-25,1,22,14488
2019-09-26,2,72,15762
2019-09-27,2,66,15168
2019-09-28,1,63,10694
2019-09-29,2,70,20697
2019-09-30,3,139,28917
2019-10-01,2,43,21628
2019-10-02,2,170,24199
2019-10-03,2,71,17264
2019-10-04,2,129,22512
2019-10-05,2,156,28196
2019-10-06,2,224,33626
2019-10-07,3,89,29520
2019-10-08,1,316,29538
2019-10-09,2,49,18101
2019-10-10,2,77,22474
2019-10-11,1,100,16324
2019-10-12,1,47,9397
2019-10-13,1,182,25033
2019-10-14,3,329,47128
2019-10-15,3,230,34810
2019-10-16,2,145,24979
2019-10-17,2,126,18872
2019-10-18,2,99,21640
2019-10-19,1,56,11158
2019-10-21,3,109,23750
2019-10-22,3,278,34342
2019-10-23,2,220,23783
2019-10-24,2,203,35405
2019-10-25,2,257,40808
2019-10-26,1,13,7657
2019-10-27,1,43,9534
2019-10-28,3,348,35202
2019-10-29,3,76,24233
2019-10-30,4,224,37285
2019-10-31,3,109,31517
2019-11-01,3,202,35575
2019-11-02,1,14,12856
2019-11-03,1,22,13854
2019-11-04,2,52,18369
2019-11-05,2,73,20796
2019-11-06,2,138,18918
2019-11-07,4,152,40632
2019-11-08,2,132,20476
2019-11-09,1,21,9066
2019-11-10,2,188,134844
2019-11-11,3,174,32060
2019-11-12,2,70,17641
2019-11-13,4,200,47509
2019-11-14,2,79,17821
2019-11-15,2,49,20319
2019-11-16,1,106,12109
2019-11-17,2,67,17154
2019-11-18,3,215,39196
2019-11-19,2,147,23790
2019-11-20,2,122,23399
2019-11-21,3,197,29467
2019-11-22,2,198,25644
2019-11-23,1,56,9210
2019-11-24,1,50,11171
2019-11-25,3,151,35608
2019-11-26,3,277,41476
2019-11-27,2,128,31530
2019-11-28,3,217,46982
2019-11-29,2,63,29789
2019-11-30,2,263,40705
2019-12-01,1,345,46050
2019-12-02,3,350,64811
2019-12-03,2,105,33191
2019-12-04,3,804,86220
2019-12-05,2,331,36614
2019-12-06,3,268,53032
2019-12-07,1,46,23012
2019-12-08,1,206,24323
2019-12-09,3,522,56773
2019-12-10,2,226,41860
2019-12-11,3,194,81303
2019-12-12,2,143,46483
2019-12-13,1,124,28014
2019-12-14,1,115,31977
2019-12-15,1,203,36967
2019-12-16,2,126,33485
2019-12-17,2,157,28549
2019-12-18,2,140,30855
2019-12-19,2,78,30258
2019-12-20,2,116,32133
2019-12-21,1,35,14139
2019-12-22,1,193,36000
2019-12-23,3,152,41272
2019-12-24,3,143,41796
2019-12-25,3,251,49988
2019-12-26,4,158,46333
2019-12-27,1,46,14821
2019-12-28,1,132,28379
2019-12-29,1,59,33099
2019-12-30,3,297,71142
2020-01-02,1,31,20987
2020-01-04,1,101,38248
2020-01-06,2,483,77092
2020-01-08,2,69,35941
2020-01-09,2,157,36635
2020-01-10,2,314,72473
2020-01-11,1,440,67700
2020-01-12,1,84,22865
2020-01-13,2,107,35528
2020-01-14,3,135,66413
2020-01-15,3,338,68631
2020-01-16,2,84,32421
2020-01-17,3,146,51817
2020-01-18,1,212,23570
2020-01-19,1,93,22921
2020-01-20,3,248,49738
2020-01-21,3,80,41756
2020-01-22,3,469,101387
2020-01-23,2,138,27083
2020-01-24,1,24,17191
2020-01-25,1,21,13499
2020-01-26,1,111,30356
2020-01-27,3,208,63681
2020-01-28,2,180,44130
2020-01-29,2,137,42548
2020-01-30,2,122,32946
2020-01-31,2,114,26736
2020-02-01,1,94,20363
2020-02-02,1,105,15984
2020-02-03,3,205,46112
2020-02-04,3,137,46738
2020-02-05,3,218,57390
2020-02-06,3,557,74054
2020-02-07,2,73,30022
2020-02-08,1,122,21768
2020-02-09,2,55,23708
2020-02-10,3,156,55051
2020-02-11,2,655,76237
2020-02-12,3,156,41555
2020-02-13,2,601,69584
2020-02-14,1,218,29754
2020-02-15,1,429,57156
2020-02-16,1,394,28093
2020-02-17,2,117,38915
2020-02-18,3,102,39670
2020-02-19,3,119,35930
2020-02-20,2,195,35259
2020-02-21,2,561,78135
2020-02-22,1,219,39934
2020-02-24,1,24,16527
2020-02-25,3,187,41546
2020-02-26,2,143,47765
2020-02-27,2,123,31780
2020-02-28,2,89,28727
2020-02-29,1,436,37329
2020-03-01,1,130,26302
